;populacao_7
"AF";"4595387"
"AL";"93278"
"DZ";"3364227"
"AO";"12171936"
"AG";"6800"
"AR";"3234159"
"AM";"100214"
"AW";"5492"
"AU";"2142202"
"AT";"405223"
"AZ";"549558"
"BS";"24610"
"BH";"101977"
"BD";"9428693"
"BB";"14722"
"BY";"420659"
"BE";"680337"
"BZ";"40016"
"BJ";"3180598"
"BT";"46777"
"BO";"1076592"
"BA";"118623"
"BW";"222994"
"BR";"9921135"
"BN";"25575"
"BG";"215101"
"BF";"5817393"
"BI";"3831846"
"CV";"40193"
"KH";"1375276"
"CM";"6242969"
"CA";"2569295"
"CF";"976267"
"TD";"4495133"
"CL";"966903"
"CN";"53954046"
"HK";"408897"
"MO";"50108"
"TW";"889850"
"CO";"2448190"
"KM";"153527"
"CG";"1603250"
"CR";"255911"
"CI";"7482386"
"HR";"130710"
"CU";"423065"
"CW";"9797"
"CY";"63407"
"CZ";"453854"
"KP";"1338190"
"CD";"26593985"
"DK";"363540"
"DJ";"81044"
"DO";"698370"
"EC";"1338286"
"EG";"12526759"
"SV";"305976"
"GQ";"308614"
"ER";"982806"
"EE";"47493"
"ET";"15686787"
"FJ";"55678"
"FI";"314692"
"FR";"3912995"
"GF";"50502"
"PF";"15627"
"GA";"320318"
"GM";"520303"
"GE";"152712"
"DE";"3493154"
"GH";"5347533"
"GR";"356934"
"GD";"4284"
"GP";"18987"
"GU";"9796"
"GT";"1852664"
"GN";"3299886"
"GW";"415697"
"GY";"42187"
"HT";"866868"
"HN";"752786"
"HU";"342279"
"IS";"19469"
"IN";"90278218"
"ID";"18880581"
"IR";"3608285"
"IQ";"10550877"
"IE";"325467"
"IL";"953348"
"IT";"2334342"
"JM";"89612"
"JP";"4171984"
"JO";"1033634"
"KZ";"1517528"
"KE";"9363118"
"KI";"16653"
"KW";"322244"
"KG";"558379"
"LA";"491823"
"LV";"62737"
"LB";"234320"
"LS";"261135"
"LR";"1213165"
"LY";"422087"
"LT";"107970"
"LU";"50972"
"MG";"6604812"
"MW";"5091302"
"MY";"2269339"
"MV";"23004"
"ML";"6054000"
"MT";"17892"
"MQ";"15336"
"MR";"1097357"
"MU";"51675"
"YT";"43808"
"MX";"8013993"
"FM";"43909"
"FM";"8326"
"MN";"271159"
"ME";"24230"
"MA";"2399814"
"MZ";"9339505"
"MM";"3511540"
"NA";"375126"
"NP";"1627476"
"NL";"861724"
"NC";"23044"
"NZ";"316307"
"NI";"373015"
"NE";"13904534"
"NG";"56884936"
"NO";"408936"
"OM";"302948"
"PK";"23057168"
"PA";"358326"
"PG";"1318909"
"PY";"525070"
"PE";"2232850"
"PH";"11157834"
"PL";"1078003"
"PT";"316853"
"PR";"111095"
"QA";"159992"
"KR";"1979333"
"MD";"106954"
"RE";"50112"
"RO";"667939"
"RU";"6944119"
"RW";"1805865"
"LC";"6784"
"VC";"4437"
"WS";"19116"
"ST";"43335"
"SA";"2276751"
"SN";"4379406"
"RS";"311297"
"SC";"4700"
"SL";"1203055"
"SG";"235553"
"SK";"202715"
"SI";"83627"
"SB";"96273"
"SO";"5703591"
"ZA";"4707118"
"SS";"3018116"
"ES";"1712255"
"LK";"892700"
"PS";"963123"
"SD";"9650077"
"SR";"35283"
"SZ";"161343"
"SE";"688678"
"CH";"501077"
"SY";"2188738"
"TJ";"1214023"
"MK";"80180"
"TH";"2485052"
"TL";"273032"
"TG";"1836457"
"TO";"11609"
"TT";"57872"
"TN";"717261"
"TR";"4582019"
"TM";"528117"
"UG";"14975191"
"UA";"1570744"
"AE";"604002"
"GB";"4124527"
"TZ";"20688253"
"US";"24039565"
"VI";"3279"
"UY";"178202"
"UZ";"2232318"
"VU";"41908"
"VE";"2335535"
"VN";"5848245"
"EH";"69495"
"YE";"3486945"
"ZM";"6417619"
"ZW";"2649679"
