;populacao_7
"AF";"2453722"
"AL";"332318"
"DZ";"3280789"
"AO";"1636205"
"AG";"8513"
"AR";"3026678"
"AM";"318948"
"AW";"5843"
"AU";"1247800"
"AT";"460541"
"AZ";"697235"
"BS";"25688"
"BH";"42692"
"BD";"12945586"
"BB";"22957"
"BY";"767628"
"BE";"633963"
"BZ";"24269"
"BJ";"621179"
"BT";"67395"
"BO";"866223"
"BA";"406759"
"BW";"168123"
"BR";"15971195"
"BN";"27778"
"BG";"688768"
"BF";"1166649"
"BI";"692313"
"CV";"47304"
"KH";"1115232"
"CM";"1431310"
"CA";"1810798"
"CF";"356090"
"TD";"799260"
"CL";"1242089"
"CN";"113876491"
"HK";"413970"
"MO";"16225"
"TW";"1875860"
"CO";"3671707"
"KM";"49106"
"CG";"304675"
"CR";"285048"
"CI";"1423194"
"HR";"332947"
"CU";"1042106"
"CW";"14729"
"CY";"59134"
"CZ";"915537"
"KP";"2022495"
"CD";"4405342"
"DK";"345508"
"DJ";"53944"
"DO";"862486"
"EC";"1181408"
"EG";"6350233"
"SV";"736764"
"GQ";"34127"
"ER";"389437"
"EE";"110407"
"ET";"6326526"
"FJ";"86311"
"FI";"299181"
"FR";"3992037"
"GF";"7641"
"PF";"19301"
"GA";"104835"
"GM";"104637"
"GE";"427028"
"DE";"3890375"
"GH";"1857002"
"GR";"732152"
"GD";"12916"
"GP";"39791"
"GU";"12041"
"GT";"1249291"
"GN";"746417"
"GW";"136166"
"GY";"112979"
"HT";"821887"
"HN";"631517"
"HU";"812362"
"IS";"21643"
"IN";"98533837"
"ID";"21293354"
"IR";"5889881"
"IQ";"2240398"
"IE";"375874"
"IL";"452348"
"IT";"4072556"
"JM";"288121"
"JP";"9995016"
"JO";"431542"
"KZ";"1712973"
"KE";"3015856"
"KI";"7851"
"KW";"209219"
"KG";"469941"
"LA";"541438"
"LV";"183293"
"LB";"369520"
"LS";"210434"
"LR";"315725"
"LY";"560452"
"LT";"266645"
"LU";"20089"
"MG";"1510980"
"MW";"1103415"
"MY";"1881264"
"MV";"25860"
"ML";"1219302"
"MT";"28665"
"MQ";"34126"
"MR";"254926"
"MU";"106412"
"YT";"9986"
"MX";"11661038"
"FM";"42388"
"FM";"11720"
"MN";"270256"
"ME";"53720"
"MA";"3039424"
"MZ";"2007917"
"MM";"4856988"
"NA";"177149"
"NP";"2270132"
"NL";"959533"
"NC";"20454"
"NZ";"292988"
"NI";"563752"
"NE";"1117094"
"NG";"12218805"
"NO";"287325"
"OM";"187218"
"PK";"11989642"
"PA";"284225"
"PG";"520394"
"PY";"454113"
"PE";"2598640"
"PH";"7179102"
"PL";"2982504"
"PT";"858733"
"PR";"333052"
"QA";"25721"
"KR";"4402395"
"MD";"390116"
"RE";"56580"
"RO";"1911580"
"RU";"10662075"
"RW";"937025"
"LC";"16795"
"VC";"15643"
"WS";"25407"
"ST";"17342"
"SA";"1504196"
"SN";"998200"
"RS";"762157"
"SC";"8682"
"SL";"562292"
"SG";"218751"
"SK";"472541"
"SI";"146584"
"SB";"42066"
"SO";"850461"
"ZA";"4382285"
"SS";"786127"
"ES";"3346766"
"LK";"1807194"
"PS";"279940"
"SD";"2500549"
"SR";"49127"
"SZ";"108524"
"SE";"524675"
"CH";"393867"
"SY";"1595256"
"TJ";"593797"
"MK";"183184"
"TH";"6297135"
"TL";"90409"
"TG";"480137"
"TO";"12559"
"TT";"129423"
"TN";"925032"
"TR";"6298636"
"TM";"418493"
"UG";"2220883"
"UA";"3878433"
"AE";"90520"
"GB";"3609120"
"TZ";"3243590"
"US";"16654388"
"VI";"15072"
"UY";"284535"
"UZ";"2292684"
"VU";"18090"
"VE";"2116500"
"VN";"7842551"
"EH";"15736"
"YE";"1459164"
"ZM";"1054179"
"ZW";"1296381"
