;indicadoressociais_11
"AF";"49.9"
"AL";"71.8"
"DZ";"66.7"
"AD";"76.5"
"AO";"41.2"
"AG";"71.4"
"AR";"71.6"
"AM";"67.9"
"AU";"76.8"
"AT";"75.5"
"AZ";"64.9"
"BS";"70.7"
"BH";"72.4"
"BD";"58.4"
"BB";"71.4"
"BY";"70.6"
"BE";"75.8"
"BZ";"71.2"
"BJ";"53.5"
"BT";"52.5"
"BO";"55.1"
"BA";"70.9"
"BW";"62.7"
"BR";"65.3"
"BN";"72.9"
"BG";"71.3"
"BF";"49.5"
"BI";"48.0"
"CV";"65.7"
"KH";"53.6"
"CM";"53.6"
"CA";"77.2"
"CF";"49.0"
"TD";"46.9"
"CL";"72.7"
"CN";"69.0"
"CO";"68.3"
"KM";"56.7"
"CG";"55.1"
"CD";"49.0"
"CR";"75.6"
"HR";"72.3"
"CU";"74.6"
"CY";"76.6"
"CZ";"71.8"
"CI";"52.5"
"DK";"75.0"
"DJ";"56.7"
"DM";"75.6"
"DO";"67.9"
"EC";"69.0"
"EG";"64.6"
"SV";"64.0"
"GQ";"48.2"
"ER";"48.3"
"EE";"69.4"
"ET";"47.1"
"FJ";"65.5"
"FI";"75.2"
"FR";"76.6"
"GA";"61.3"
"GM";"52.1"
"GE";"70.3"
"DE";"75.4"
"GH";"56.8"
"GR";"76.6"
"GD";"68.6"
"GT";"62.2"
"GN";"50.0"
"GW";"49.1"
"GY";"63.5"
"HT";"54.6"
"HN";"66.7"
"HK";"77.5"
"HU";"69.3"
"IS";"78.1"
"IN";"57.9"
"ID";"63.3"
"IR";"63.8"
"IQ";"66.2"
"IE";"74.7"
"IL";"76.4"
"IT";"76.8"
"JM";"72.1"
"JP";"79.0"
"JO";"69.9"
"KZ";"66.8"
"KE";"58.8"
"KI";"60.4"
"";"69.9"
"KR";"71.7"
"KW";"72.1"
"KG";"66.3"
"LA";"53.6"
"LV";"69.1"
"LB";"70.2"
"LS";"59.4"
"LR";"47.2"
"LY";"68.5"
"LI";"76.1"
"LT";"70.7"
"LU";"75.2"
"MG";"51.0"
"MW";"43.8"
"MY";"70.7"
"MV";"61.4"
"ML";"46.5"
"MT";"76.0"
"MR";"58.4"
"MU";"69.4"
"MX";"70.8"
"FM";"66.2"
"MD";"67.6"
"MN";"60.3"
"ME";"74.6"
"MA";"64.7"
"MZ";"43.2"
"MM";"58.7"
"NA";"61.3"
"NP";"54.3"
"NL";"77.0"
"NZ";"75.3"
"NI";"64.2"
"NE";"44.0"
"NG";"46.1"
"NO";"76.5"
"OM";"67.2"
"PK";"60.1"
"PW";"62.3"
"";"68.1"
"PA";"73.0"
"PG";"55.6"
"PY";"68.0"
"PE";"65.5"
"PH";"65.3"
"PL";"70.9"
"PT";"74.3"
"QA";"74.9"
"RO";"69.5"
"RU";"68.0"
"RW";"33.4"
"KN";"67.3"
"LC";"71.1"
"VC";"70.1"
"WS";"64.9"
"ST";"61.8"
"SA";"69.0"
"SN";"57.2"
"RS";"71.5"
"SC";"70.8"
"SL";"37.3"
"SG";"76.0"
"SK";"71.2"
"SI";"73.2"
"SB";"56.7"
"SO";"45.4"
"ZA";"62.1"
"SS";"43.5"
"ES";"77.0"
"LK";"69.5"
"SD";"55.5"
"SR";"67.4"
"SZ";"59.5"
"SE";"77.5"
"CH";"77.6"
"SY";"70.1"
"TJ";"62.9"
"TZ";"50.0"
"TH";"70.3"
"MK";"71.2"
"TL";"48.5"
"TG";"55.9"
"TO";"69.6"
"TT";"68.0"
"TN";"68.8"
"TR";"64.3"
"TM";"62.8"
"UG";"45.0"
"UA";"69.8"
"AE";"71.5"
"GB";"75.6"
"US";"75.2"
"UY";"72.6"
"UZ";"66.8"
"VU";"63.1"
"VE";"69.8"
"VN";"70.5"
"YE";"57.9"
"ZM";"44.3"
"ZW";"59.6"
