;indicadoressociais_11
"AF";"59.3"
"AL";"77.1"
"DZ";"74.1"
"AD";"80.9"
"AO";"51.1"
"AG";"75.6"
"AR";"75.8"
"AM";"74.3"
"AU";"81.9"
"AT";"80.8"
"AZ";"70.6"
"BS";"74.9"
"BH";"76.2"
"BD";"70.5"
"BB";"75.1"
"BY";"70.6"
"BE";"80.2"
"BZ";"69.7"
"BJ";"59.0"
"BT";"68.3"
"BO";"66.9"
"BA";"76.0"
"BW";"64.0"
"BR";"73.6"
"BN";"77.9"
"BG";"73.7"
"BF";"57.6"
"BI";"55.3"
"CV";"72.9"
"KH";"67.0"
"CM";"54.2"
"CA";"81.4"
"CF";"48.4"
"TD";"50.4"
"CL";"80.7"
"CN";"75.2"
"CO";"73.5"
"KM";"62.2"
"CG";"60.1"
"CD";"57.4"
"CR";"78.9"
"HR";"76.8"
"CU";"79.1"
"CY";"79.6"
"CZ";"77.9"
"CI";"50.5"
"DK";"79.6"
"DJ";"60.9"
"DM";"77.5"
"DO";"72.9"
"EC";"75.2"
"EG";"70.5"
"SV";"72.2"
"GQ";"56.4"
"ER";"62.1"
"EE";"75.8"
"ET";"62.1"
"FJ";"69.4"
"FI";"80.2"
"FR";"81.6"
"GA";"62.8"
"GM";"59.5"
"GE";"74.4"
"DE";"80.4"
"GH";"60.8"
"GR";"80.3"
"GD";"72.8"
"GT";"71.1"
"GN";"57.0"
"GW";"54.2"
"GY";"66.1"
"HT";"61.7"
"HN";"72.6"
"HK";"83.3"
"HU";"74.7"
"IS";"82.0"
"IN";"66.9"
"ID";"68.3"
"IR";"74.4"
"IQ";"68.7"
"IE";"80.3"
"IL";"81.7"
"IT";"82.4"
"JM";"75.1"
"JP";"83.1"
"JO";"73.6"
"KZ";"68.1"
"KE";"59.6"
"KI";"65.5"
"";"69.4"
"KR";"81.1"
"KW";"74.1"
"KG";"69.1"
"LA";"64.9"
"LV";"73.2"
"LB";"78.6"
"LS";"48.3"
"LR";"59.9"
"LY";"71.6"
"LI";"79.6"
"LT";"72.5"
"LU";"80.8"
"MG";"63.8"
"MW";"58.6"
"MY";"74.3"
"MV";"76.3"
"ML";"56.7"
"MT";"80.1"
"MR";"62.3"
"MU";"73.7"
"MX";"76.2"
"FM";"68.8"
"MD";"70.4"
"MN";"68.1"
"ME";"75.5"
"MA";"73.0"
"MZ";"53.8"
"MM";"65.3"
"NA";"63.4"
"NP";"68.4"
"NL";"81.0"
"NZ";"81.2"
"NI";"74.0"
"NE";"59.2"
"NG";"51.7"
"NO";"81.1"
"OM";"76.1"
"PK";"65.4"
"PW";"71.8"
"";"72.4"
"PA";"77.0"
"PG";"62.1"
"PY";"72.5"
"PE";"73.9"
"PH";"67.8"
"PL";"76.6"
"PT";"80.0"
"QA";"77.6"
"RO";"74.1"
"RU";"69.1"
"RW";"62.4"
"KN";"73.1"
"LC";"74.6"
"VC";"72.5"
"WS";"72.6"
"ST";"66.1"
"SA";"73.8"
"SN";"64.8"
"RS";"74.3"
"SC";"72.7"
"SL";"49.0"
"SG";"82.3"
"SK";"75.6"
"SI";"79.7"
"SB";"67.2"
"SO";"54.4"
"ZA";"55.5"
"SS";"54.2"
"ES";"82.0"
"LK";"74.5"
"SD";"62.5"
"SR";"70.6"
"SZ";"48.7"
"SE";"81.7"
"CH";"82.4"
"SY";"71.1"
"TJ";"68.7"
"TZ";"62.7"
"TH";"73.9"
"MK";"74.9"
"TL";"67.6"
"TG";"58.0"
"TO";"72.4"
"TT";"69.9"
"TN";"74.6"
"TR";"74.4"
"TM";"65.1"
"UG";"56.5"
"UA";"69.8"
"AE";"76.5"
"GB";"80.2"
"US";"78.7"
"UY";"76.7"
"UZ";"68.5"
"VU";"71.1"
"VE";"73.7"
"VN";"75.3"
"YE";"63.1"
"ZM";"57.5"
"ZW";"51.6"
