"Government expenditure on education (% of GDP)"
"178"," Guinea-Bissau","","","","","","","","","1.9","","1.8","","2.1","","2.4","","",""
"127"," Guyana","","","3.6","","8.5","","8.1","","3.7","","3.6","","3.2","","","","",""
"130"," Honduras","","","3.6","","","","","","","","","","","","5.9","","",""
"12"," Hong Kong, China (SAR)","2.5","","","","","","4.1","","3.5","","3.4","","3.5","","3.8","","3.6",""
"43"," Hungary","","","4.9","","4.9","","5.4","","4.8","","4.6","","","","","","",""
"9"," Iceland","4.2","","4.7","","6.5","","7.4","","7.2","","7.0","","","","","","",""
"131"," India","","","","","4.3","","3.1","","3.3","","3.7","","3.8","","","","",""
"113"," Indonesia","","","1.0","","","","2.9","","2.8","","3.2","","3.4","","3.4","","3.3",""
"69"," Iran (Islamic Republic of)","4.0","","4.4","","4.0","","4.2","","3.9","","3.7","","3.2","","3.2","","3.0",""
"8"," Ireland","4.6","","4.9","","4.1","","4.5","","6.1","","5.8","","5.8","","","","",""
"19"," Israel","6.1","","","","6.1","","5.7","","5.5","","5.6","","","","5.9","","",""
"26"," Italy","","","4.3","","4.3","","4.2","","4.3","","4.1","","","","","","",""
"94"," Jamaica","4.8","","3.7","","5.0","","4.6","","6.4","","6.3","","6.1","","6.3","","6.0",""
"17"," Japan","","","3.5","","3.6","","3.5","","3.8","","3.8","","3.9","","3.8","","3.8",""
"56"," Kazakhstan","","","4.0","","3.3","","2.3","","","","","","","","","","",""
"146"," Kenya","","","","","5.2","","7.3","","5.5","","","","","","","","",""
"137"," Kiribati","","","","","11.1","","","","","","","","","","","","",""
"18"," Korea (Republic of)","3.0","","3.0","","","","3.9","","","","","","4.6","","","","",""
"51"," Kuwait","","","","","","","4.7","","","","","","","","","","",""
"120"," Kyrgyzstan","","","6.2","","3.5","","4.9","","5.8","","6.8","","7.4","","6.8","","",""
"138"," Lao People's Democratic Republic","","","","","1.5","","2.4","","2.8","","","","","","","","4.2",""
"44"," Latvia","","","","","5.3","","","","5.1","","5.0","","4.6","","4.9","","",""
"76"," Lebanon","","","2.2","","","","2.7","","1.6","","1.6","","2.2","","2.6","","",""
"160"," Lesotho","","","10.1","","11.5","","14.8","","","","","","","","","","",""
"177"," Liberia","","","","","","","","","","","","","2.8","","","","",""
"15"," Liechtenstein","","","","","","","","","","","2.6","","","","","","",""
"37"," Lithuania","","","4.8","","","","4.9","","5.3","","5.1","","4.8","","","","",""
"20"," Luxembourg","","","3.5","","","","","","","","","","","","","","",""
"158"," Madagascar","","","","","2.9","","3.8","","","","2.8","","2.7","","2.1","","",""
"170"," Malawi","3.3","","4.0","","5.2","","","","4.4","","5.4","","","","7.7","","6.9",""
"59"," Malaysia","","","4.3","","6.0","","","","5.0","","5.8","","","","6.1","","",""
"105"," Maldives","","","","","","","5.2","","","","6.0","","5.2","","","","",""
"175"," Mali","","","","","3.3","","4.0","","3.9","","4.6","","4.2","","4.0","","4.3",""
"33"," Malta","3.8","","","","","","","","6.9","","8.0","","6.8","","","","",""
"157"," Mauritania","","","","","","","","","3.6","","3.1","","3.0","","3.3","","",""
"64"," Mauritius","3.2","","","","3.8","","4.2","","3.7","","3.4","","3.5","","3.7","","5.0",""
"77"," Mexico","2.3","","3.9","","4.1","","4.9","","5.2","","5.2","","","","","","",""
"127"," Micronesia (Federated States of)","","","","","6.7","","","","","","","","","","","","",""
"107"," Moldova (Republic of)","","","","","4.5","","7.2","","9.1","","8.6","","8.3","","","","7.5",""
"0"," Monaco","","","1.1","","1.3","","","","1.3","","1.6","","1.8","","1.3","","1.0",""
"92"," Mongolia","","","","","5.5","","","","4.6","","4.6","","","","","","",""
"123"," Morocco","4.7","","5.0","","","","","","","","","","","","","","",""
"181"," Mozambique","","","","","","","4.4","","","","","","6.1","","6.5","","",""
"145"," Myanmar","","","1.2","","","","","","","","","","","","","","",""
"125"," Namibia","","","","","7.0","","","","8.3","","","","","","","","",""
"144"," Nepal","","","","","3.0","","3.4","","4.7","","","","","","4.1","","4.7",""
"7"," Netherlands","5.3","","4.7","","4.6","","5.2","","5.6","","5.5","","5.5","","5.6","","",""
"13"," New Zealand","","","5.7","","","","6.3","","7.1","","7.0","","7.3","","","","6.4",""
"124"," Nicaragua","","","","","3.0","","","","4.5","","","","","","","","",""
"187"," Niger","2.9","","2.9","","3.2","","","","3.7","","4.2","","4.3","","4.9","","6.8",""
"1"," Norway","6.3","","7.7","","6.5","","6.9","","6.8","","6.5","","7.4","","","","",""
"52"," Oman","2.8","","3.4","","3.2","","3.5","","","","","","","","5.0","","",""
"147"," Pakistan","2.5","","2.8","","1.8","","2.3","","2.3","","2.2","","2.1","","2.5","","2.5",""
"60"," Palau","","","","","7.8","","","","","","","","","","","","",""
"60"," Panama","","","4.8","","5.0","","","","","","3.3","","","","","","",""
"110"," Paraguay","1.1","","","","4.6","","","","3.8","","5.0","","5.0","","","","",""
"87"," Peru","","","","","3.3","","2.9","","2.8","","2.7","","2.9","","3.3","","3.7",""
"116"," Philippines","","","3.0","","3.3","","2.4","","","","","","","","3.4","","",""
"36"," Poland","","","4.4","","5.0","","5.5","","5.1","","4.8","","4.8","","","","",""
"41"," Portugal","3.6","","4.6","","5.2","","5.1","","5.4","","5.1","","","","","","",""
"33"," Qatar","","","","","3.7","","4.0","","4.5","","4.0","","3.5","","4.0","","3.5",""
"50"," Romania","","","","","2.9","","3.5","","3.5","","3.0","","2.9","","","","",""
"49"," Russian Federation","","","","","2.9","","3.8","","","","","","4.2","","","","",""
"159"," Rwanda","","","","","4.1","","","","5.0","","4.7","","4.8","","5.0","","",""
"74"," Saint Kitts and Nevis","","","3.5","","4.8","","3.9","","","","","","","","","","",""
"92"," Saint Lucia","","","","","","","5.1","","4.1","","4.3","","4.0","","4.7","","4.8",""
"99"," Saint Vincent and the Grenadines","","","","","7.9","","6.4","","5.1","","","","","","","","",""
"104"," Samoa","","","","","3.6","","","","","","","","","","","","",""
"0"," San Marino","3.2","","3.4","","","","","","2.3","","2.4","","","","","","",""
"142"," Sao Tome and Principe","","","","","","","5.3","","9.8","","","","6.0","","5.9","","3.9",""
"38"," Saudi Arabia","","","5.7","","5.9","","5.4","","","","","","","","","","",""
"162"," Senegal","","","","","3.2","","5.1","","5.6","","","","","","","","",""
"66"," Serbia","","","","","","","","","4.6","","4.5","","4.4","","","","",""
"63"," Seychelles","","","7.7","","","","","","","","3.6","","","","","","",""
"179"," Sierra Leone","","","","","4.9","","2.8","","2.6","","2.7","","2.9","","2.4","","2.8",""
"5"," Singapore","","","","","3.3","","3.2","","3.1","","3.1","","3.1","","2.9","","",""
"40"," Slovakia","","","4.3","","3.9","","3.8","","4.1","","4.0","","3.9","","4.1","","",""
"25"," Slovenia","","","4.9","","","","5.6","","5.6","","5.6","","5.7","","","","",""
"156"," Solomon Islands","","","","","","","","","10.0","","","","","","","","",""
"119"," South Africa","5.3","","","","5.4","","5.1","","5.7","","6.0","","6.4","","6.0","","6.1",""
"181"," South Sudan","","","","","","","","","","","0.8","","","","","","",""
"27"," Spain","3.6","","4.4","","4.2","","4.1","","4.8","","4.9","","4.4","","4.3","","",""
"73"," Sri Lanka","2.4","","3.0","","","","","","1.7","","1.8","","1.5","","1.6","","",""
"165"," Sudan","","","","","1.0","","1.6","","","","","","","","","","",""
"148"," Swaziland","5.5","","5.7","","5.5","","7.4","","7.0","","8.6","","","","","","",""
"14"," Sweden","5.3","","6.2","","6.8","","6.6","","6.6","","6.5","","7.7","","7.7","","",""
"2"," Switzerland","4.5","","5.1","","4.8","","5.2","","4.9","","5.0","","5.1","","","","",""
"129"," Tajikistan","","","2.1","","2.3","","3.5","","4.0","","3.9","","4.0","","","","",""
"151"," Tanzania (United Republic of)","2.1","","","","","","4.6","","4.6","","","","","","","","3.5",""
"87"," Thailand","","","3.2","","5.3","","3.9","","3.5","","4.8","","4.5","","4.1","","",""
"82"," The former Yugoslav Republic of Macedonia","","","4.5","","","","","","","","","","","","","","",""
"133"," Timor-Leste","","","","","","","","","10.5","","9.3","","6.4","","6.0","","7.7",""
"166"," Togo","","","","","4.5","","3.4","","4.4","","4.4","","4.7","","4.4","","4.8",""
"101"," Tonga","","","","","4.9","","","","","","","","","","","","",""
"65"," Trinidad and Tobago","3.7","","3.6","","2.8","","","","","","","","","","","","",""
"97"," Tunisia","5.8","","6.4","","6.2","","6.5","","6.3","","","","6.2","","","","",""
"71"," Turkey","","","2.3","","2.6","","","","","","","","","","","","",""
"111"," Turkmenistan","","","","","","","","","","","","","3.0","","","","",""
"0"," Tuvalu","7.6","","","","","","","","","","","","","","","","",""
"163"," Uganda","","","","","2.5","","","","2.3","","2.7","","2.7","","2.2","","",""
"84"," Ukraine","","","","","4.2","","6.1","","","","6.2","","6.7","","6.7","","",""
"16"," United Kingdom","4.1","","4.8","","4.3","","5.2","","5.9","","5.8","","","","5.7","","",""
"10"," United States","4.8","","4.9","","","","5.1","","5.4","","5.2","","","","","","",""
"54"," Uruguay","","","2.5","","2.4","","2.7","","","","4.4","","","","","","",""
"134"," Vanuatu","","","","","7.0","","","","","","","","","","","","4.9",""
"71"," Venezuela (Bolivarian Republic of)","2.5","","","","","","","","","","","","","","","","",""
"115"," Viet Nam","","","","","","","","","6.3","","","","6.3","","","","",""
"168"," Yemen","","","","","9.7","","","","","","","","","","","","",""
"139"," Zambia","","","1.8","","1.8","","1.7","","","","","","","","","","",""
"154"," Zimbabwe","12.5","","","","","","","","2.0","","","","","","","","",""
"a: Data refer to the most recent year available during the period specified.<br />"
