;populacao_7
"AF";"8324"
"AL";"13286"
"DZ";"88079"
"AO";"9807"
"AG";"237"
"AR";"216288"
"AM";"16341"
"AW";"339"
"AU";"185914"
"AT";"78494"
"AZ";"18915"
"BS";"1389"
"BH";"709"
"BD";"355203"
"BB";"1317"
"BY";"53430"
"BE";"114100"
"BZ";"216"
"BJ";"4778"
"BT";"1597"
"BO";"33254"
"BA";"25772"
"BW";"1278"
"BR";"762679"
"BN";"477"
"BG";"37319"
"BF";"2700"
"BI";"3697"
"CV";"788"
"KH";"10257"
"CM";"11628"
"CA";"307038"
"CF";"2274"
"TD";"4018"
"CL";"93987"
"CN";"3817839"
"HK";"79667"
"MO";"2657"
"TW";"160667"
"CO";"130195"
"KM";"264"
"CG";"3189"
"CR";"21614"
"CI";"4488"
"HR";"37138"
"CU";"91842"
"CW";"1178"
"CY";"6204"
"CZ";"63270"
"KP";"52147"
"CD";"31503"
"DK";"44396"
"DJ";"569"
"DO";"37309"
"EC";"49510"
"EG";"85895"
"SV";"21859"
"GQ";"515"
"ER";"3114"
"EE";"12949"
"ET";"59695"
"FJ";"796"
"FI";"52068"
"FR";"786647"
"GF";"383"
"PF";"622"
"GA";"2017"
"GM";"276"
"GE";"17024"
"DE";"971654"
"GH";"8685"
"GR";"134392"
"GD";"250"
"GP";"4563"
"GU";"610"
"GT";"30907"
"GN";"2305"
"GW";"270"
"GY";"535"
"HT";"11590"
"HN";"18019"
"HU";"61156"
"IS";"2297"
"IN";"1870348"
"ID";"173552"
"IR";"101086"
"IQ";"18022"
"IE";"26533"
"IL";"48117"
"IT";"835882"
"JM";"12460"
"JP";"2236359"
"JO";"7125"
"KZ";"28973"
"KE";"25516"
"KI";"054"
"KW";"765"
"KG";"5640"
"LA";"3517"
"LV";"15740"
"LB";"19901"
"LS";"1439"
"LR";"899"
"LY";"5346"
"LT";"25431"
"LU";"4225"
"MG";"12110"
"MW";"6322"
"MY";"44509"
"MV";"721"
"ML";"2673"
"MT";"2886"
"MQ";"4381"
"MR";"1067"
"MU";"4300"
"YT";"443"
"MX";"406714"
"FM";"884"
"FM";"064"
"MN";"2462"
"ME";"3075"
"MA";"40942"
"MZ";"13693"
"MM";"37413"
"NA";"1257"
"NP";"22133"
"NL";"141226"
"NC";"818"
"NZ";"31502"
"NI";"16040"
"NE";"3201"
"NG";"17668"
"NO";"36970"
"OM";"3414"
"PK";"132507"
"PA";"17325"
"PG";"6333"
"PY";"13279"
"PE";"87195"
"PH";"75564"
"PL";"283736"
"PT";"118719"
"PR";"28345"
"QA";"923"
"KR";"354773"
"MD";"10209"
"RE";"4952"
"RO";"136538"
"RU";"773761"
"RW";"5791"
"LC";"806"
"VC";"338"
"WS";"387"
"ST";"167"
"SA";"20702"
"SN";"4354"
"RS";"43550"
"SC";"264"
"SL";"513"
"SG";"35385"
"SK";"25084"
"SI";"19530"
"SB";"269"
"SO";"4295"
"ZA";"62626"
"SS";"5463"
"ES";"549355"
"LK";"52325"
"PS";"2415"
"SD";"22744"
"SR";"1078"
"SZ";"545"
"SE";"87164"
"CH";"80865"
"SY";"19446"
"TJ";"10633"
"MK";"5504"
"TH";"324660"
"TL";"502"
"TG";"1139"
"TO";"222"
"TT";"3304"
"TN";"27313"
"TR";"192388"
"TM";"6064"
"UG";"13718"
"UA";"244500"
"AE";"1779"
"GB";"618797"
"TZ";"31481"
"US";"2198347"
"VI";"598"
"UY";"27573"
"UZ";"44388"
"VU";"163"
"VE";"80768"
"VN";"387199"
"EH";"181"
"YE";"8444"
"ZM";"7315"
"ZW";"9223"
