;populacao_7
"AF";"5340823"
"AL";"146520"
"DZ";"3699866"
"AO";"6850602"
"AG";"8002"
"AR";"3629628"
"AM";"136791"
"AW";"6396"
"AU";"1999335"
"AT";"448649"
"AZ";"644586"
"BS";"28387"
"BH";"134125"
"BD";"13104743"
"BB";"16123"
"BY";"471271"
"BE";"687670"
"BZ";"44788"
"BJ";"2117651"
"BT";"62740"
"BO";"1191998"
"BA";"157025"
"BW";"249060"
"BR";"12943597"
"BN";"31210"
"BG";"272400"
"BF";"3915321"
"BI";"2278141"
"CV";"51715"
"KH";"1593746"
"CM";"4361453"
"CA";"2496776"
"CF";"810109"
"TD";"3144781"
"CL";"1157039"
"CN";"68021920"
"HK";"442308"
"MO";"47352"
"TW";"1077511"
"CO";"3188959"
"KM";"125155"
"CG";"990217"
"CR";"317577"
"CI";"4605903"
"HR";"164772"
"CU";"537768"
"CW";"9607"
"CY";"69374"
"CZ";"492180"
"KP";"1679960"
"CD";"18144839"
"DK";"371789"
"DJ";"98600"
"DO";"920661"
"EC";"1573650"
"EG";"11383611"
"SV";"465394"
"GQ";"249759"
"ER";"811572"
"EE";"57101"
"ET";"16308355"
"FJ";"72230"
"FI";"327060"
"FR";"3910583"
"GF";"39591"
"PF";"19547"
"GA";"280573"
"GM";"425670"
"GE";"192569"
"DE";"3958009"
"GH";"4296835"
"GR";"412381"
"GD";"6857"
"GP";"23539"
"GU";"12507"
"GT";"2076091"
"GN";"2383687"
"GW";"312247"
"GY";"61422"
"HT";"1077379"
"HN";"943091"
"HU";"424240"
"IS";"22078"
"IN";"115718677"
"ID";"22202063"
"IR";"4518909"
"IQ";"6951701"
"IE";"305514"
"IL";"850567"
"IT";"2501542"
"JM";"163931"
"JP";"4872515"
"JO";"1084733"
"KZ";"1546048"
"KE";"8058108"
"KI";"14436"
"KW";"343944"
"KG";"586498"
"LA";"672470"
"LV";"76442"
"LB";"330067"
"LS";"274638"
"LR";"858969"
"LY";"513374"
"LT";"137463"
"LU";"46735"
"MG";"4711654"
"MW";"3707670"
"MY";"2759755"
"MV";"30319"
"ML";"4116861"
"MT";"21579"
"MQ";"18172"
"MR";"769097"
"MU";"66382"
"YT";"39684"
"MX";"10314734"
"FM";"47974"
"FM";"11172"
"MN";"284281"
"ME";"31247"
"MA";"2926032"
"MZ";"6140262"
"MM";"4350698"
"NA";"361793"
"NP";"2470486"
"NL";"951242"
"NC";"23901"
"NZ";"333928"
"NI";"502141"
"NE";"6260942"
"NG";"37056214"
"NO";"396016"
"OM";"389066"
"PK";"24114929"
"PA";"392179"
"PG";"1147366"
"PY";"647255"
"PE";"2750896"
"PH";"11823289"
"PL";"1423336"
"PT";"377394"
"PR";"163519"
"QA";"217979"
"KR";"2389491"
"MD";"153208"
"RE";"59846"
"RO";"833552"
"RU";"7487664"
"RW";"1799515"
"LC";"9396"
"VC";"6502"
"WS";"19105"
"ST";"33167"
"SA";"2779711"
"SN";"2947406"
"RS";"409044"
"SC";"5683"
"SL";"1165290"
"SG";"296054"
"SK";"251218"
"SI";"91663"
"SB";"85118"
"SO";"3299844"
"ZA";"5419543"
"SS";"2268606"
"ES";"1871836"
"LK";"1219724"
"PS";"815630"
"SD";"6980856"
"SR";"44759"
"SZ";"176838"
"SE";"673128"
"CH";"520430"
"SY";"2507674"
"TJ";"1123858"
"MK";"104057"
"TH";"3154853"
"TL";"228511"
"TG";"1333640"
"TO";"11537"
"TT";"71275"
"TN";"843533"
"TR";"5739428"
"TM";"568147"
"UG";"9766239"
"UA";"1903989"
"AE";"698080"
"GB";"4211785"
"TZ";"12245949"
"US";"23618322"
"VI";"5045"
"UY";"221253"
"UZ";"2703272"
"VU";"36771"
"VE";"2816216"
"VN";"6879926"
"EH";"68493"
"YE";"4117090"
"ZM";"3668106"
"ZW";"2507164"
