;populacao_7
"AF";"808263"
"AL";"256505"
"DZ";"1798042"
"AO";"755014"
"AG";"5853"
"AR";"2278170"
"AM";"324824"
"AW";"6797"
"AU";"1436939"
"AT";"645966"
"AZ";"674794"
"BS";"23152"
"BH";"62145"
"BD";"7208613"
"BB";"24667"
"BY";"862414"
"BE";"804100"
"BZ";"13043"
"BJ";"309669"
"BT";"31435"
"BO";"450271"
"BA";"362711"
"BW";"97070"
"BR";"12071421"
"BN";"26731"
"BG";"585631"
"BF";"519286"
"BI";"363679"
"CV";"20852"
"KH";"603324"
"CM";"689662"
"CA";"2619169"
"CF";"188707"
"TD";"357644"
"CL";"1113658"
"CN";"91386035"
"HK";"651224"
"MO";"44181"
"TW";"1911594"
"CO";"2791220"
"KM";"27140"
"CG";"156602"
"CR";"265315"
"CI";"816402"
"HR";"360766"
"CU";"879136"
"CW";"13138"
"CY";"63729"
"CZ";"677693"
"KP";"1777553"
"CD";"2224357"
"DK";"384666"
"DJ";"39682"
"DO";"535539"
"EC";"764029"
"EG";"3874954"
"SV";"346846"
"GQ";"28076"
"ER";"179297"
"EE";"113235"
"ET";"2915306"
"FJ";"60102"
"FI";"383674"
"FR";"4314692"
"GF";"10719"
"PF";"15685"
"GA";"54276"
"GM";"64109"
"GE";"423641"
"DE";"6646520"
"GH";"959542"
"GR";"770052"
"GD";"6662"
"GP";"31833"
"GU";"12139"
"GT";"544347"
"GN";"420763"
"GW";"63349"
"GY";"58395"
"HT";"462375"
"HN";"315203"
"HU";"684358"
"IS";"21451"
"IN";"64634555"
"ID";"14146994"
"IR";"3660861"
"IQ";"907749"
"IE";"242683"
"IL";"328417"
"IT";"4279250"
"JM";"180138"
"JP";"7897509"
"JO";"238455"
"KZ";"1401433"
"KE";"1442059"
"KI";"5480"
"KW";"214014"
"KG";"343049"
"LA";"270265"
"LV";"199099"
"LB";"207880"
"LS";"91883"
"LR";"121115"
"LY";"299623"
"LT";"297366"
"LU";"33872"
"MG";"754955"
"MW";"588818"
"MY";"1493582"
"MV";"13845"
"ML";"457771"
"MT";"29026"
"MQ";"29672"
"MR";"132119"
"MU";"88883"
"YT";"5953"
"MX";"5901443"
"FM";"35386"
"FM";"6559"
"MN";"155461"
"ME";"49041"
"MA";"1897332"
"MZ";"771140"
"MM";"3017868"
"NA";"96022"
"NP";"1235830"
"NL";"1264480"
"NC";"12731"
"NZ";"285213"
"NI";"275640"
"NE";"535148"
"NG";"5957109"
"NO";"320801"
"OM";"159519"
"PK";"7180704"
"PA";"191368"
"PG";"302574"
"PY";"297127"
"PE";"1591113"
"PH";"4644544"
"PL";"3040213"
"PT";"715164"
"PR";"260342"
"QA";"63679"
"KR";"4290735"
"MD";"362297"
"RE";"52289"
"RO";"1501601"
"RU";"12705787"
"RW";"415235"
"LC";"10017"
"VC";"7945"
"WS";"9715"
"ST";"6345"
"SA";"1509393"
"SN";"442321"
"RS";"657319"
"SC";"5975"
"SL";"245417"
"SG";"356533"
"SK";"412510"
"SI";"157798"
"SB";"19672"
"SO";"466461"
"ZA";"2787488"
"SS";"336147"
"ES";"3053015"
"LK";"1425945"
"PS";"127603"
"SD";"1306310"
"SR";"34250"
"SZ";"49245"
"SE";"592872"
"CH";"552805"
"SY";"794150"
"TJ";"372022"
"MK";"152296"
"TH";"4738353"
"TL";"59507"
"TG";"226352"
"TO";"5204"
"TT";"102467"
"TN";"619606"
"TR";"3997554"
"TM";"295822"
"UG";"1045088"
"UA";"3811758"
"AE";"252277"
"GB";"4310186"
"TZ";"1616417"
"US";"22357279"
"VI";"7641"
"UY";"218501"
"UZ";"1629222"
"VU";"10425"
"VE";"1591207"
"VN";"5432627"
"EH";"20162"
"YE";"691466"
"ZM";"488866"
"ZW";"656451"
