;populacao_7
"AF";"426006"
"AL";"116231"
"DZ";"1685773"
"AO";"401728"
"AG";"3579"
"AR";"1760064"
"AM";"86304"
"AW";"3817"
"AU";"1256171"
"AT";"422480"
"AZ";"251174"
"BS";"15886"
"BH";"51589"
"BD";"5348266"
"BB";"11876"
"BY";"304946"
"BE";"556634"
"BZ";"8645"
"BJ";"141803"
"BT";"26721"
"BO";"321516"
"BA";"141352"
"BW";"54985"
"BR";"8894181"
"BN";"20695"
"BG";"265094"
"BF";"199741"
"BI";"114305"
"CV";"12545"
"KH";"215035"
"CM";"341367"
"CA";"1887988"
"CF";"51770"
"TD";"133265"
"CL";"808816"
"CN";"55493559"
"HK";"449829"
"MO";"36424"
"TW";"1330894"
"CO";"1830382"
"KM";"9465"
"CG";"108754"
"CR";"224958"
"CI";"219231"
"HR";"169539"
"CU";"513770"
"CW";"6553"
"CY";"62691"
"CZ";"592774"
"KP";"760657"
"CD";"1122938"
"DK";"260283"
"DJ";"17570"
"DO";"337613"
"EC";"664005"
"EG";"2365183"
"SV";"201463"
"GQ";"12416"
"ER";"77455"
"EE";"54093"
"ET";"1799354"
"FJ";"19219"
"FI";"244423"
"FR";"3088894"
"GF";"13649"
"PF";"11562"
"GA";"48331"
"GM";"19936"
"GE";"120308"
"DE";"3611789"
"GH";"381050"
"GR";"626160"
"GD";"2673"
"GP";"19120"
"GU";"6138"
"GT";"505771"
"GN";"161232"
"GW";"19242"
"GY";"12462"
"HT";"175755"
"HN";"295682"
"HU";"433599"
"IS";"16122"
"IN";"31574755"
"ID";"6124939"
"IR";"3386133"
"IQ";"725718"
"IE";"282441"
"IL";"398317"
"IT";"3263963"
"JM";"93930"
"JP";"7054201"
"JO";"248518"
"KZ";"430482"
"KE";"1028912"
"KI";"1638"
"KW";"141550"
"KG";"125061"
"LA";"132597"
"LV";"64107"
"LB";"203769"
"LS";"20265"
"LR";"69791"
"LY";"221308"
"LT";"94346"
"LU";"31069"
"MG";"428113"
"MW";"295838"
"MY";"1068814"
"MV";"16194"
"ML";"181188"
"MT";"21215"
"MQ";"16528"
"MR";"58611"
"MU";"49133"
"YT";"9701"
"MX";"5671547"
"FM";"12336"
"FM";"759"
"MN";"75002"
"ME";"24583"
"MA";"1396999"
"MZ";"393539"
"MM";"1049174"
"NA";"43532"
"NP";"708349"
"NL";"768999"
"NC";"12152"
"NZ";"223806"
"NI";"233805"
"NE";"214542"
"NG";"1708994"
"NO";"275366"
"OM";"169569"
"PK";"3272154"
"PA";"183261"
"PG";"129144"
"PY";"172259"
"PE";"1233624"
"PH";"2127877"
"PL";"1725617"
"PT";"587313"
"PR";"149945"
"QA";"80428"
"KR";"2936750"
"MD";"107720"
"RE";"41724"
"RO";"815237"
"RU";"4307694"
"RW";"222602"
"LC";"7407"
"VC";"3161"
"WS";"4724"
"ST";"3585"
"SA";"1347235"
"SN";"253424"
"RS";"305337"
"SC";"3592"
"SL";"55968"
"SG";"384962"
"SK";"247703"
"SI";"109523"
"SB";"14269"
"SO";"134086"
"ZA";"1050623"
"SS";"147521"
"ES";"3094897"
"LK";"818169"
"PS";"107248"
"SD";"564177"
"SR";"14012"
"SZ";"13182"
"SE";"480010"
"CH";"459695"
"SY";"647959"
"TJ";"183667"
"MK";"78410"
"TH";"3207844"
"TL";"12891"
"TG";"84231"
"TO";"2212"
"TT";"35157"
"TN";"441350"
"TR";"3519682"
"TM";"111454"
"UG";"549398"
"UA";"1397569"
"AE";"347077"
"GB";"3109019"
"TZ";"998592"
"US";"13874738"
"VI";"3760"
"UY";"136755"
"UZ";"747903"
"VU";"6766"
"VE";"1060352"
"VN";"4127977"
"EH";"17067"
"YE";"327071"
"ZM";"261501"
"ZW";"249037"
