;populacao_7
"AF";"4311810"
"AL";"109137"
"DZ";"3347847"
"AO";"5927903"
"AG";"7328"
"AR";"3361642"
"AM";"106128"
"AW";"6153"
"AU";"2230331"
"AT";"472432"
"AZ";"560474"
"BS";"27249"
"BH";"136056"
"BD";"10570370"
"BB";"14332"
"BY";"393756"
"BE";"703618"
"BZ";"41156"
"BJ";"1677693"
"BT";"50882"
"BO";"1044155"
"BA";"138554"
"BW";"222763"
"BR";"11582807"
"BN";"29223"
"BG";"223837"
"BF";"3301971"
"BI";"1917367"
"CV";"45442"
"KH";"1340451"
"CM";"3857784"
"CA";"2847214"
"CF";"684504"
"TD";"2414631"
"CL";"1105680"
"CN";"60620085"
"HK";"469501"
"MO";"55807"
"TW";"1038648"
"CO";"2752826"
"KM";"96559"
"CG";"926749"
"CR";"298385"
"CI";"3496827"
"HR";"149984"
"CU";"470311"
"CW";"11056"
"CY";"77072"
"CZ";"478938"
"KP";"1458592"
"CD";"16289263"
"DK";"391709"
"DJ";"75510"
"DO";"751839"
"EC";"1451451"
"EG";"10559964"
"SV";"351799"
"GQ";"226161"
"ER";"722721"
"EE";"48192"
"ET";"14241703"
"FJ";"51201"
"FI";"341756"
"FR";"3991079"
"GF";"43775"
"PF";"17843"
"GA";"251408"
"GM";"322978"
"GE";"143504"
"DE";"4220414"
"GH";"3496191"
"GR";"430769"
"GD";"4374"
"GP";"21139"
"GU";"10709"
"GT";"1886239"
"GN";"2140587"
"GW";"253925"
"GY";"37988"
"HT";"758785"
"HN";"837077"
"HU";"391036"
"IS";"21994"
"IN";"96124147"
"ID";"18224713"
"IR";"3947584"
"IQ";"6366302"
"IE";"334611"
"IL";"881358"
"IT";"2724593"
"JM";"100273"
"JP";"4761214"
"JO";"999742"
"KZ";"1342228"
"KE";"7267042"
"KI";"10881"
"KW";"339186"
"KG";"472631"
"LA";"545219"
"LV";"62581"
"LB";"287288"
"LS";"209465"
"LR";"779592"
"LY";"439248"
"LT";"109046"
"LU";"54721"
"MG";"4280058"
"MW";"3493992"
"MY";"2552232"
"MV";"27665"
"ML";"3404600"
"MT";"20619"
"MQ";"16268"
"MR";"617016"
"MU";"59689"
"YT";"39772"
"MX";"9223294"
"FM";"37717"
"FM";"7054"
"MN";"232408"
"ME";"27512"
"MA";"2619331"
"MZ";"5476132"
"MM";"3381523"
"NA";"312894"
"NP";"2022712"
"NL";"967134"
"NC";"25507"
"NZ";"349912"
"NI";"435263"
"NE";"5640244"
"NG";"30558667"
"NO";"453997"
"OM";"348911"
"PK";"19457422"
"PA";"377279"
"PG";"893677"
"PY";"526637"
"PE";"2464456"
"PH";"9694947"
"PL";"1236447"
"PT";"393332"
"PR";"126842"
"QA";"224242"
"KR";"2367864"
"MD";"120691"
"RE";"56337"
"RO";"725256"
"RU";"6318269"
"RW";"1595519"
"LC";"8234"
"VC";"5253"
"WS";"14096"
"ST";"26026"
"SA";"2614488"
"SN";"2680142"
"RS";"340927"
"SC";"4543"
"SL";"808849"
"SG";"350864"
"SK";"223924"
"SI";"87980"
"SB";"74980"
"SO";"2659963"
"ZA";"4367834"
"SS";"1845336"
"ES";"2013864"
"LK";"943708"
"PS";"765966"
"SD";"5876700"
"SR";"35479"
"SZ";"136710"
"SE";"711620"
"CH";"594416"
"SY";"2347119"
"TJ";"966498"
"MK";"89552"
"TH";"2925062"
"TL";"185920"
"TG";"1026233"
"TO";"8367"
"TT";"58192"
"TN";"742495"
"TR";"5213147"
"TM";"439601"
"UG";"8677561"
"UA";"1570764"
"AE";"798526"
"GB";"4404006"
"TZ";"11416069"
"US";"24507484"
"VI";"3671"
"UY";"194655"
"UZ";"2257609"
"VU";"35164"
"VE";"2514651"
"VN";"5851812"
"EH";"75102"
"YE";"3230157"
"ZM";"3315207"
"ZW";"2151801"
