;indicadoressociais_10
"AF";"0.309"
"AL";"0.603"
"DZ";"0.587"
"AD";"99999999999998"
"AO";"99999999999998"
"AG";"99999999999998"
"AR";"0.720"
"AM";"0.595"
"AU";"0.871"
"AT";"0.804"
"AZ";"99999999999998"
"BS";"99999999999998"
"BH";"0.757"
"BD";"0.400"
"BB";"0.716"
"BY";"99999999999998"
"BE";"0.824"
"BZ";"0.655"
"BJ";"0.355"
"BT";"99999999999998"
"BO";"0.549"
"BA";"99999999999998"
"BW";"0.590"
"BR";"0.622"
"BN";"0.792"
"BG";"0.696"
"BF";"99999999999998"
"BI";"0.271"
"CV";"99999999999998"
"KH";"0.366"
"CM";"0.440"
"CA";"0.855"
"CF";"0.302"
"TD";"99999999999998"
"CL";"0.718"
"CN";"0.518"
"CO";"0.606"
"KM";"99999999999998"
"CG";"0.518"
"CD";"0.346"
"CR";"0.667"
"HR";"0.663"
"CU";"0.663"
"CY";"0.741"
"CZ";"0.761"
"CI";"0.388"
"DK";"0.808"
"DJ";"99999999999998"
"DM";"99999999999998"
"DO";"0.610"
"EC";"0.650"
"EG";"0.557"
"SV";"0.546"
"GQ";"99999999999998"
"ER";"99999999999998"
"EE";"0.715"
"ET";"99999999999998"
"FJ";"0.653"
"FI";"0.794"
"FR";"0.798"
"GA";"0.625"
"GM";"0.340"
"GE";"99999999999998"
"DE";"0.814"
"GH";"0.464"
"GR";"0.771"
"GD";"99999999999998"
"GT";"0.490"
"GN";"0.278"
"GW";"99999999999998"
"GY";"0.552"
"HT";"0.405"
"HN";"0.514"
"HK";"0.791"
"HU";"0.706"
"IS";"0.812"
"IN";"0.439"
"ID";"0.534"
"IR";"0.603"
"IQ";"0.541"
"IE";"0.772"
"IL";"0.801"
"IT";"0.779"
"JM";"0.658"
"JP";"0.822"
"JO";"0.651"
"KZ";"0.682"
"KE";"0.468"
"KI";"99999999999998"
"KR";"0.749"
"KW";"0.666"
"KG";"0.599"
"LA";"0.408"
"LV";"0.678"
"LB";"99999999999998"
"LS";"0.493"
"LR";"99999999999998"
"LY";"0.697"
"LI";"99999999999998"
"LT";"0.711"
"LU";"0.795"
"MG";"99999999999998"
"MW";"0.338"
"MY";"0.660"
"MV";"99999999999998"
"ML";"0.233"
"MT";"0.746"
"MR";"0.391"
"MU";"0.633"
"MX";"0.656"
"FM";"99999999999998"
"MD";"0.621"
"MN";"0.561"
"ME";"99999999999998"
"MA";"0.468"
"MZ";"0.208"
"MM";"0.375"
"NA";"0.586"
"NP";"0.394"
"NL";"0.836"
"NZ";"0.825"
"NI";"0.498"
"NE";"0.218"
"NG";"99999999999998"
"NO";"0.862"
"OM";"99999999999998"
"PK";"0.415"
"PW";"99999999999998"
"PA";"0.676"
"PG";"0.378"
"PY";"0.589"
"PE";"0.616"
"PH";"0.589"
"PL";"0.713"
"PT";"0.731"
"QA";"0.752"
"RO";"0.677"
"RU";"0.718"
"RW";"0.206"
"KN";"99999999999998"
"LC";"99999999999998"
"VC";"99999999999998"
"WS";"0.604"
"ST";"0.460"
"SA";"0.712"
"SN";"0.367"
"RS";"0.700"
"SC";"99999999999998"
"SL";"0.262"
"SG";"0.740"
"SK";"0.732"
"SI";"0.766"
"SB";"99999999999998"
"ZA";"0.638"
"SS";"99999999999998"
"ES";"0.772"
"LK";"0.636"
"SD";"0.345"
"SR";"99999999999998"
"SZ";"0.551"
"SE";"0.820"
"CH";"0.835"
"SY";"0.566"
"TJ";"0.589"
"TZ";"0.368"
"TH";"0.590"
"MK";"99999999999998"
"TL";"99999999999998"
"TG";"0.399"
"TO";"0.657"
"TT";"0.671"
"TN";"0.583"
"TR";"0.586"
"TM";"99999999999998"
"UG";"0.303"
"UA";"0.693"
"AE";"0.742"
"GB";"0.800"
"US";"0.866"
"UY";"0.700"
"UZ";"99999999999998"
"VU";"99999999999998"
"VE";"0.650"
"VN";"0.498"
"YE";"0.412"
"ZM";"0.397"
"ZW";"0.486"
