;indicadoressociais_10
"AF";"0.433"
"AL";"0.713"
"DZ";"0.697"
"AD";"99999999999998"
"AO";"0.468"
"AG";"0.786"
"AR";"0.792"
"AM";"0.721"
"AU";"0.921"
"AT";"0.864"
"AZ";"0.719"
"BS";"0.791"
"BH";"0.815"
"BD";"0.520"
"BB";"0.775"
"BY";"0.755"
"BE";"0.874"
"BZ";"0.699"
"BJ";"0.444"
"BT";"99999999999998"
"BO";"0.632"
"BA";"0.710"
"BW";"0.646"
"BR";"0.704"
"BN";"0.840"
"BG";"0.761"
"BF";"0.345"
"BI";"0.319"
"CV";"0.615"
"KH";"0.511"
"CM";"0.466"
"CA";"0.897"
"CF";"0.338"
"TD";"0.338"
"CL";"0.804"
"CN";"0.672"
"CO";"0.683"
"KM";"0.461"
"CG";"0.527"
"CD";"0.377"
"CR";"0.740"
"HR";"0.800"
"CU";"0.771"
"CY";"0.844"
"CZ";"0.856"
"CI";"0.423"
"DK";"0.906"
"DJ";"0.427"
"DM";"0.714"
"DO";"0.692"
"EC";"0.698"
"EG";"0.651"
"SV";"0.659"
"GQ";"0.592"
"ER";"0.406"
"EE";"0.835"
"ET";"0.378"
"FJ";"0.700"
"FI";"0.876"
"FR";"0.877"
"GA";"0.651"
"GM";"0.426"
"GE";"0.735"
"DE";"0.903"
"GH";"0.530"
"GR";"0.853"
"GD";"99999999999998"
"GT";"0.589"
"GN";"0.371"
"GW";"0.398"
"GY";"0.618"
"HT";"0.462"
"HN";"0.597"
"HK";"0.887"
"HU";"0.812"
"IS";"0.892"
"IN";"0.556"
"ID";"0.641"
"IR";"0.716"
"IQ";"0.638"
"IE";"0.908"
"IL";"0.877"
"IT";"0.866"
"JM";"0.718"
"JP";"0.880"
"JO";"0.739"
"KZ";"0.758"
"KE";"0.506"
"KI";"0.572"
"KR";"0.873"
"KW";"0.787"
"KG";"0.624"
"LA";"0.518"
"LV";"0.819"
"LB";"0.740"
"LS";"0.447"
"LR";"0.394"
"LY";"0.757"
"LI";"0.893"
"LT";"0.820"
"LU";"0.887"
"MG";"0.491"
"MW";"0.400"
"MY";"0.747"
"MV";"0.641"
"ML";"0.360"
"MT";"0.813"
"MR";"0.475"
"MU";"0.728"
"MX";"0.735"
"FM";"0.628"
"MD";"0.661"
"MN";"0.673"
"ME";"0.774"
"MA";"0.589"
"MZ";"0.372"
"MM";"0.493"
"NA";"0.589"
"NP";"0.492"
"NL";"0.905"
"NZ";"0.894"
"NI";"0.607"
"NE";"0.298"
"NG";"0.481"
"NO";"0.936"
"OM";"0.765"
"PK";"0.513"
"PW";"0.767"
"PA";"0.750"
"PG";"0.469"
"PY";"0.654"
"PE";"0.700"
"PH";"0.655"
"PL";"0.813"
"PT";"0.804"
"QA";"0.825"
"RO";"0.780"
"RU";"0.769"
"RW";"0.438"
"KN";"99999999999998"
"LC";"0.710"
"VC";"0.704"
"WS";"0.688"
"ST";"0.531"
"SA";"0.779"
"SN";"0.435"
"RS";"0.749"
"SC";"0.739"
"SL";"0.367"
"SG";"0.880"
"SK";"0.813"
"SI";"0.869"
"SB";"0.489"
"ZA";"0.616"
"SS";"99999999999998"
"ES";"0.854"
"LK";"0.731"
"SD";"0.444"
"SR";"0.691"
"SZ";"0.514"
"SE";"0.897"
"CH";"0.914"
"SY";"0.651"
"TJ";"0.592"
"TZ";"0.468"
"TH";"0.700"
"MK";"0.714"
"TL";"0.566"
"TG";"0.441"
"TO";"0.698"
"TT";"0.767"
"TN";"0.701"
"TR";"0.705"
"TM";"99999999999998"
"UG";"0.453"
"UA";"0.730"
"AE";"0.829"
"GB";"0.892"
"US";"0.905"
"UY";"0.770"
"UZ";"0.644"
"VU";"0.582"
"VE";"0.745"
"VN";"0.633"
"YE";"0.480"
"ZM";"0.504"
"ZW";"0.421"
