;meioambiente_33
"AF";"0,58"
"AL";"0,41"
"DZ";"0,17"
"AS";"0,18"
"AD";"0,49"
"AO";"0,46"
"AI";"99999999999998"
"AG";"0,20"
"AR";"0,47"
"AM";"0,44"
"AW";"0,11"
"AU";"0,60"
"AT";"0,36"
"AZ";"0,54"
"BS";"0,01"
"BH";"0,13"
"BD";"0,72"
"BB";"0,44"
"BY";"0,46"
"BE";"99999999999998"
"BZ";"0,06"
"BJ";"0,22"
"BM";"0,08"
"BT";"0,14"
"BO";"0,34"
"BA";"0,42"
"BW";"0,46"
"BR";"0,31"
"VG";"0,53"
"BN";"0,02"
"BG";"0,56"
"BF";"0,35"
"BI";"0,79"
"CV";"0,17"
"KH";"0,26"
"CM";"0,19"
"CA";"0,07"
"KY";"0,11"
"CF";"0,08"
"TD";"0,38"
"CL";"0,21"
"CN";"0,56"
"HK";"0,08"
"MO";"99999999999998"
"CO";"0,40"
"KM";"0,66"
"CG";"0,31"
"CK";"0,21"
"CR";"0,40"
"CI";"0,62"
"HR";"0,42"
"CU";"0,62"
"CY";"0,15"
"CZ";"0,55"
"KP";"0,22"
"CD";"0,11"
"DK";"0,64"
"DJ";"0,63"
"DM";"0,23"
"DO";"0,53"
"EC";"0,29"
"EG";"0,03"
"SV";"0,70"
"GQ";"0,12"
"ER";"0,73"
"EE";"0,23"
"ET";"0,31"
"FK";"1,00"
"FO";"0,02"
"FJ";"0,24"
"FI";"0,07"
"FR";"0,55"
"GF";"0,00"
"PF";"0,12"
"GA";"0,20"
"GM";"0,55"
"GE";"0,44"
"DE";"0,50"
"GH";"0,58"
"GI";"99999999999998"
"GR";"0,71"
"GL";"0,01"
"GD";"0,32"
"GP";"0,31"
"GU";"0,37"
"GT";"0,42"
"GN";"0,57"
"GW";"0,53"
"GY";"0,09"
"HT";"0,58"
"HN";"0,31"
"HU";"0,69"
"IS";"0,19"
"IN";"0,61"
"ID";"0,24"
"IR";"0,39"
"IQ";"0,21"
"IE";"0,64"
"IM";"0,73"
"IL";"0,26"
"IT";"0,52"
"JM";"0,46"
"JP";"0,15"
"JO";"0,13"
"KZ";"0,80"
"KE";"0,48"
"KI";"0,46"
"KW";"0,08"
"KG";"0,54"
"LA";"0,07"
"LV";"0,29"
"LB";"0,60"
"LS";"0,77"
"LR";"0,26"
"LY";"0,09"
"LI";"0,44"
"LT";"0,54"
"LU";"99999999999998"
"MG";"0,63"
"MW";"0,45"
"MY";"0,21"
"MV";"0,27"
"ML";"0,29"
"MT";"0,34"
"MH";"0,67"
"MQ";"0,30"
"MR";"0,39"
"MU";"0,51"
"YT";"0,49"
"MX";"0,55"
"FM";"0,32"
"MN";"0,76"
"ME";"99999999999998"
"MS";"0,30"
"MA";"0,69"
"MZ";"0,61"
"MM";"0,16"
"NA";"0,47"
"NR";"0,20"
"NP";"0,29"
"NL";"0,58"
"NC";"0,13"
"NZ";"0,57"
"NI";"0,38"
"NE";"0,28"
"NG";"0,75"
"NU";"0,18"
"NF";"0,25"
"MP";"0,09"
"NO";"0,03"
"OM";"0,03"
"PK";"0,47"
"PW";"0,11"
"PA";"0,29"
"PG";"0,02"
"PY";"0,41"
"PE";"0,17"
"PH";"0,37"
"PN";"99999999999998"
"PL";"0,61"
"PT";"0,43"
"PR";"0,35"
"QA";"0,06"
"KR";"0,21"
"MD";"0,78"
"RE";"0,20"
"RO";"0,64"
"RU";"0,13"
"RW";"0,60"
"SH";"0,31"
"KN";"0,38"
"LC";"0,30"
"PM";"0,13"
"VC";"0,31"
"WS";"0,18"
"SM";"0,17"
"ST";"0,47"
"SA";"0,81"
"SN";"0,46"
"RS";"99999999999998"
"SC";"0,09"
"SL";"0,39"
"SG";"0,02"
"SK";"0,51"
"SI";"0,27"
"SB";"0,03"
"SO";"0,70"
"ZA";"0,80"
"SS";"99999999999998"
"ES";"0,60"
"LK";"0,37"
"SD";"99999999999998"
"SR";"0,01"
"SZ";"0,71"
"SE";"0,08"
"CH";"0,40"
"SY";"0,75"
"TJ";"0,33"
"TH";"0,42"
"MK";"0,51"
"TL";"0,23"
"TG";"0,61"
"TK";"0,60"
"TO";"0,46"
"TT";"0,15"
"TN";"0,60"
"TR";"0,51"
"TM";"0,76"
"TC";"0,01"
"TV";"0,67"
"UG";"0,61"
"UA";"0,72"
"AE";"0,05"
"GB";"0,72"
"TZ";"0,37"
"US";"0,46"
"VI";"0,23"
"UY";"0,85"
"UZ";"0,65"
"VU";"0,14"
"VE";"0,25"
"VN";"0,22"
"WF";"0,43"
"EH";"0,19"
"YE";"0,45"
"ZM";"0,29"
"ZW";"0,36"
