;populacao_1
"AF";"13237734"
"AL";"2571850"
"DZ";"18212326"
"AS";"31102"
"AD";"33737"
"AO";"8376147"
"AI";"6709"
"AG";"73324"
"AR";"27277741"
"AM";"2997411"
"AW";"60103"
"AU";"14309298"
"AT";"7627759"
"AZ";"5957929"
"BS";"201513"
"BH";"323473"
"BD";"77033846"
"BB";"250032"
"BY";"9505452"
"BE";"9836814"
"BZ";"138965"
"BJ";"3523938"
"BM";"56236"
"BT";"385384"
"BO";"5350322"
"BA";"4100350"
"BW";"927585"
"BR";"115577669"
"VG";"10662"
"BN";"181257"
"BG";"8828014"
"BF";"6530819"
"BI";"3913768"
"CV";"278739"
"KH";"6955566"
"CM";"8122529"
"CA";"24014082"
"KY";"14661"
"CF";"2162249"
"TD";"4335645"
"CL";"10930783"
"CN";"966039822"
"HK";"4646177"
"MO";"235198"
"TW";"17125169"
"CO";"26502166"
"KM";"286634"
"CG";"1736099"
"CK";"18570"
"CR";"2266154"
"CI";"7585914"
"HR";"4555420"
"CU";"9711392"
"CW";"148929"
"CY";"673251"
"CZ";"10263109"
"KP";"17015983"
"CD";"24954655"
"DK";"5109690"
"DJ";"308008"
"DM";"74242"
"DO";"5543517"
"EC";"7571959"
"EG";"42004655"
"SV";"4417516"
"GQ";"244485"
"ER";"2254450"
"EE";"1454273"
"ET";"34068316"
"FO";"42693"
"FK";"1876"
"FJ";"609345"
"FI";"4758252"
"FR";"53696453"
"GF";"61931"
"PF";"143032"
"GA";"694732"
"GM";"567831"
"GE";"4955501"
"DE";"78589311"
"GH";"10354499"
"GI";"30049"
"GR";"9392113"
"GL";"49860"
"GD";"89073"
"GP";"327224"
"GU";"99630"
"GT";"6933906"
"GN";"4421134"
"GW";"788495"
"GY";"770125"
"HT";"5450549"
"VA";"730"
"HN";"3458104"
"HU";"10693829"
"IS";"224150"
"IN";"665502284"
"ID";"140665856"
"IR";"35972652"
"IQ";"12859094"
"IE";"3343147"
"IM";"62406"
"IL";"3594488"
"IT";"56057025"
"JM";"2105664"
"JP";"115890284"
"JO";"2234594"
"KZ";"14597846"
"KE";"15082994"
"KI";"57662"
"KW";"1227601"
"KG";"3477229"
"LA";"3168843"
"LV";"2502513"
"LB";"2604865"
"LS";"1243352"
"LR";"1771256"
"LY";"2979093"
"LI";"24962"
"LT";"3379798"
"LU";"361073"
"MG";"8230218"
"MW";"5806845"
"MY";"13123069"
"MV";"148892"
"ML";"6831295"
"MT";"328201"
"MH";"28405"
"MQ";"325286"
"MR";"1448414"
"MU";"937821"
"YT";"50698"
"MX";"66039488"
"FM";"288753"
"MC";"26087"
"MN";"1603906"
"ME";"570056"
"MS";"11921"
"MA";"19081718"
"MZ";"11248046"
"MM";"31872230"
"NA";"970258"
"NR";"7309"
"NP";"14241403"
"NL";"13984060"
"NC";"140265"
"NZ";"3128956"
"NI";"3065117"
"NE";"5652355"
"NG";"69293550"
"NU";"3599"
"MP";"15372"
"NO";"4059183"
"OM";"1032800"
"PK";"73194937"
"PW";"12153"
"PA";"1884515"
"PG";"3125034"
"PY";"3012829"
"PE";"16491083"
"PH";"44866273"
"PL";"34881380"
"PT";"9605593"
"PR";"3089760"
"QA";"192093"
"KR";"36997800"
"MD";"3942140"
"RE";"496911"
"RO";"22279304"
"RU";"136255397"
"RW";"4803725"
"SH";"5262"
"KN";"43703"
"LC";"114546"
"PM";"5970"
"VC";"98633"
"WS";"154007"
"SM";"20660"
"ST";"90089"
"SA";"8679840"
"SN";"5315265"
"RS";"8746980"
"SC";"63878"
"SL";"3209263"
"SG";"2341429"
"SX";"11481"
"SK";"4903202"
"SI";"1795648"
"SB";"215347"
"SO";"5417740"
"ZA";"28298150"
"SS";"4445826"
"ES";"37137704"
"LK";"14533376"
"PS";"1433100"
"SD";"13510421"
"SR";"361457"
"SZ";"567559"
"SE";"8277414"
"CH";"6321535"
"SY";"8336418"
"TJ";"3688385"
"MK";"1877688"
"TH";"45423436"
"TL";"613857"
"TG";"2576469"
"TK";"1542"
"TO";"91364"
"TT";"1054116"
"TN";"6054911"
"TR";"42039935"
"TM";"2734896"
"TC";"7053"
"TV";"7888"
"UG";"11818307"
"UA";"49526883"
"AE";"852262"
"GB";"56263661"
"TZ";"17555494"
"US";"225449657"
"VI";"95075"
"UY";"2875966"
"UZ";"15096012"
"VU";"109429"
"VE";"14525931"
"VN";"52015281"
"WF";"10241"
"EH";"119330"
"YE";"7536764"
"ZM";"5501445"
"ZW";"6703182"
