;populacao_1
"AF";"71071244"
"AL";"2246771"
"DZ";"61781092"
"AS";"52151"
"AD";"68475"
"AO";"116380154"
"AI";"14350"
"AG";"127272"
"AR";"58284454"
"AM";"2339276"
"AW";"102818"
"AU";"37539281"
"AT";"8521347"
"AZ";"10522113"
"BS";"483163"
"BH";"2441242"
"BD";"198829889"
"BB";"267700"
"BY";"7996166"
"BE";"12705265"
"BZ";"666701"
"BJ";"33329135"
"BM";"47553"
"BT";"975519"
"BO";"17624902"
"BA";"2668631"
"BW";"3747155"
"BR";"220975620"
"VG";"37204"
"BN";"529564"
"BG";"4530423"
"BF";"61166972"
"BI";"38091884"
"CV";"767116"
"KH";"23421060"
"CM";"69004372"
"CA";"48390182"
"KY";"89742"
"CF";"11616025"
"TD";"47122710"
"CL";"20373948"
"CN";"1201285224"
"HK";"8244177"
"MO";"966784"
"TW";"19943630"
"CO";"51844054"
"KM";"1837966"
"CG";"16659024"
"CK";"17460"
"CR";"5645014"
"CI";"73662698"
"HR";"2999426"
"CU";"9452369"
"CW";"186956"
"CY";"1394059"
"CZ";"9354597"
"KP";"25643134"
"CD";"284411691"
"DK";"6582342"
"DJ";"1350199"
"DM";"70031"
"DO";"13335854"
"EC";"24709076"
"EG";"179430064"
"SV";"6650734"
"GQ";"3829976"
"ER";"12339236"
"EE";"1014935"
"ET";"230497429"
"FO";"56692"
"FK";"2715"
"FJ";"957465"
"FI";"6026060"
"FR";"72041181"
"GF";"701574"
"PF";"320294"
"GA";"4330873"
"GM";"6030593"
"GE";"2979725"
"DE";"75013549"
"GH";"64512656"
"GI";"37281"
"GR";"8611162"
"GL";"49790"
"GD";"95388"
"GP";"384906"
"GU";"192074"
"GT";"30994876"
"GN";"37056273"
"GW";"4741845"
"GY";"746992"
"HT";"14160873"
"VA";"812"
"HN";"14153095"
"HU";"7321434"
"IS";"395193"
"IN";"1662275880"
"ID";"323382344"
"IR";"86633379"
"IQ";"114098183"
"IE";"6062333"
"IM";"101382"
"IL";"14901583"
"IT";"50369723"
"JM";"2217043"
"JP";"95759712"
"JO";"16329539"
"KZ";"24656654"
"KE";"121698202"
"KI";"211365"
"KW";"5980994"
"KG";"8715126"
"LA";"9254809"
"LV";"1313680"
"LB";"5175098"
"LS";"3687152"
"LR";"13521732"
"LY";"8014396"
"LI";"44193"
"LT";"2141592"
"LU";"896976"
"MG";"74220370"
"MW";"58394046"
"MY";"43690929"
"MV";"573608"
"ML";"63034405"
"MT";"392541"
"MH";"71575"
"MQ";"314915"
"MR";"12048824"
"MU";"1103404"
"YT";"631597"
"MX";"166258218"
"FM";"688490"
"MC";"51513"
"MN";"4353050"
"ME";"531713"
"MS";"5098"
"MA";"46809734"
"MZ";"97986459"
"MM";"60768582"
"NA";"5259594"
"NR";"10535"
"NP";"35466633"
"NL";"17059623"
"NC";"416866"
"NZ";"6002915"
"NI";"7962383"
"NE";"117969699"
"NG";"584339740"
"NU";"1834"
"MP";"45555"
"NO";"7489893"
"OM";"7104713"
"PK";"344630286"
"PW";"29021"
"PA";"6380050"
"PG";"16770867"
"PY";"9220948"
"PE";"43119920"
"PH";"167965343"
"PL";"27092268"
"PT";"7735568"
"PR";"2765580"
"QA";"4053995"
"KR";"44648945"
"MD";"2618416"
"RE";"997507"
"RO";"14164485"
"RU";"126126522"
"RW";"26277166"
"SH";"3982"
"KN";"61041"
"LC";"162766"
"PM";"7413"
"VC";"97951"
"WS";"263256"
"SM";"33339"
"ST";"491349"
"SA";"46123828"
"SN";"47697055"
"RS";"6520059"
"SC";"88970"
"SL";"15467233"
"SG";"6190675"
"SX";"57103"
"SK";"4400848"
"SI";"1769296"
"SB";"1265723"
"SO";"54315940"
"ZA";"77067677"
"SS";"33997062"
"ES";"39626720"
"LK";"18578721"
"PS";"12557704"
"SD";"107902296"
"SR";"634757"
"SZ";"2370583"
"SE";"12481527"
"CH";"10207303"
"SY";"38137084"
"TJ";"17118811"
"MK";"1717887"
"TH";"57065552"
"TL";"3166911"
"TG";"20244838"
"TK";"1613"
"TO";"153005"
"TT";"1147485"
"TN";"13965030"
"TR";"94766751"
"TM";"8363990"
"TC";"50729"
"TV";"16368"
"UG";"155327622"
"UA";"31792882"
"AE";"14382179"
"GB";"78335584"
"TZ";"207498947"
"US";"420496821"
"VI";"74179"
"UY";"3559246"
"UZ";"41161983"
"VU";"582645"
"VE";"43375445"
"VN";"114299571"
"WF";"10387"
"EH";"1160982"
"YE";"54453507"
"ZM";"62373196"
"ZW";"36422461"
